DiseaseName,AssociatedGenes
Autosomal recessive hypophosphatemic vitamin D refractory rickets,DMP1
Autosomal recessive Kenny-Caffey syndrome,TBCE
Autosomal recessive keratitis-ichthyosis-deafness syndrome,AP1B1
Autosomal recessive limb-girdle muscular dystrophy type 2B,DYSF
Autosomal recessive limb-girdle muscular dystrophy type 2D,SGCA
Autosomal recessive limb-girdle muscular dystrophy type 2E,SGCB
Autosomal recessive limb-girdle muscular dystrophy type 2F,SGCD
Autosomal recessive limb-girdle muscular dystrophy type 2G,TCAP
Autosomal recessive multiple pterygium syndrome,CHRNG
Autosomal recessive omodysplasia,GPC6
Autosomal recessive osteopetrosis 1,TCIRG1
Autosomal recessive osteopetrosis 2,TNFSF11
Autosomal recessive osteopetrosis 4,CLCN7
Autosomal recessive osteopetrosis 6,PLEKHM1
Autosomal recessive osteopetrosis 7,TNFRSF11A
Autosomal recessive polycystic kidney disease,
Autosomal recessive pseudohypoaldosteronism type 1,"SCNN1A, SCNN1B, SCNN1G"
Autosomal recessive spondylocostal dysostosis,
Autosomal recessive woolly hair 3,KRT25
"Avascular necrosis of femoral head, primary, 2",TRPV4
Avascular necrosis of the head of femur,COL2A1
Avellino corneal dystrophy,TGFBI
Axenfeld-Rieger syndrome type 1,PITX2
Axenfeld-Rieger syndrome type 3,FOXC1
Axial spondylometaphyseal dysplasia,CFAP410
Ayme-gripp syndrome,MAF
Azathioprine response,"NUDT15, TPMT"
"Azoospermia, obstructive, with nephrolithiasis",CLDN2
Azorean disease,ATXN3
B-cell expansion with NFKB and T-cell anergy,CARD11
B4GALT1-CDG,B4GALT1
"Bacteremia, susceptibility to, 1",TIRAP
"Bacteremia, susceptibility to, 2",CISH
Bailey-Bloch congenital myopathy,STAC3
Bainbridge-Ropers syndrome,ASXL3
Baller-Gerold syndrome,RECQL4
Bamforth-Lazarus syndrome,FOXE1
Band heterotopia,EML1
Baraitser-Winter syndrome,
Baraitser-Winter syndrome 1,ACTB
Baraitser-Winter Syndrome 2,ACTG1
Baralle-Macken syndrome,COPB1
Barber-Say syndrome,TWIST2
Bardet-Biedl syndrome,"BBS1, BBS4, MKKS, SDCCAG8, "
Bardet-Biedl syndrome 1,"ARL6, BBS1, CCDC28B"
Bardet-Biedl syndrome 10,BBS10
Bardet-Biedl syndrome 11,TRIM32
Bardet-Biedl syndrome 12,BBS12
Bardet-Biedl syndrome 13,MKS1
Bardet-Biedl syndrome 14,"CEP290, TMEM67"
Bardet-Biedl syndrome 15,WDPCP
Bardet-Biedl syndrome 16,SDCCAG8
Bardet-Biedl syndrome 17,LZTFL1
Bardet-Biedl syndrome 18,BBIP1
Bardet-Biedl syndrome 19,IFT27
Bardet-Biedl syndrome 2,BBS2
Bardet-Biedl syndrome 20,IFT74
Bardet-Biedl syndrome 21,CFAP418
Bardet-Biedl syndrome 3,ARL6
Bardet-Biedl syndrome 4,BBS4
Bardet-Biedl syndrome 5,BBS5
Bardet-Biedl syndrome 6,MKKS
Bardet-Biedl syndrome 7,BBS7
Bardet-Biedl syndrome 8,TTC8
Bardet-Biedl syndrome 9,BBS9
Bare lymphocyte syndrome 2,"CIITA, RFX5, RFXANK, RFXAP"
Bare lymphocyte syndrome type 1,"TAP1, TAP2, TAPBP"
Barrett esophagus,"ASCC1, CTHRC1, MSR1"
Bartsocas-Papas syndrome,RIPK4
BARTSOCAS-PAPAS SYNDROME 2,CHUK
Bartter disease type 4a,BSND
Bartter syndrome,
Bartter syndrome type 3,CLCNKB
"Bartter syndrome, type 1, antenatal",SLC12A1
"Bartter syndrome, type 2, antenatal",KCNJ1
"Bartter syndrome, type 4b","CLCNKA, CLCNKB"
"Bartter syndrome, type 5, antenatal, transient",MAGED2
"Basal cell carcinoma, susceptibility to, 1","PTCH1, PTCH2, RASA1, SMO"
"Basal cell carcinoma, susceptibility to, 7",TP53
"Basal ganglia calcification, idiopathic, 4",PDGFRB
"Basal ganglia calcification, idiopathic, 6",XPR1
"Basal ganglia calcification, idiopathic, 7, autosomal recessive",MYORG
"Basal ganglia calcification, idiopathic, 8, autosomal recessive",JAM2
Basal laminar drusen,CFH
Basan syndrome,SMARCAD1
Basel-Vanagaite-Smirin-Yosef syndrome,MED25
Basilicata-Akhtar syndrome,MSL3
Beaded hair,"KRT81, KRT83, KRT86"
Beare-Stevenson cutis gyrata syndrome,FGFR2
Beaulieu-Boycott-Innes syndrome,THOC6
Beck-Fahrner syndrome,TET3
Becker muscular dystrophy,DMD
Beckwith-Wiedemann syndrome,"CDKN1C, H19-ICR, IGF2, KCNQ1, KCNQ1OT1"
Benign familial hematuria,"COL4A3, COL4A4"
Benign familial infantile seizures,
Benign familial neonatal seizures,
Benign familial neonatal seizures 1,KCNQ2
Benign familial neonatal seizures 2,KCNQ3
Benign hereditary chorea,NKX2-1
Benign recurrent intrahepatic cholestasis type 2,ABCB11
Bent bone dysplasia syndrome,FGFR2
"Bernard-Soulier syndrome, type A2, autosomal dominant",GP1BA
Bernard Soulier syndrome,"GP1BA, GP1BB, GP9"
"Bestrophinopathy, autosomal recessive",BEST1
Beta-aminoisobutyric aciduria,AGXT2
Beta-D-mannosidosis,MANBA
BETA-GLUCOPYRANOSIDE TASTING,TAS2R16
Beta-hydroxyisobutyryl-CoA deacylase deficiency,HIBCH
Beta-propeller protein-associated neurodegeneration,WDR45
"Beta-thalassemia, dominant inclusion body type",HBB
beta Thalassemia,"HBB, HBB-LCR"
Bethlem myopathy 1,"COL6A1, COL6A2, COL6A3"
Bethlem myopathy 2,COL12A1
Beukes hip dysplasia,UFSP2
BH4-deficient hyperphenylalaninemia A,PTS
Bietti crystalline corneoretinal dystrophy,CYP4V2
Bifunctional peroxisomal enzyme deficiency,HSD17B4
Bilateral right-sidedness sequence,GDF1
Bile acid conjugation defect 1,BAAT
"Bile acid malabsorption, primary",SLC10A2
"Bile acid synthesis defect, congenital, 3",CYP7B1
"Bile acid synthesis defect, congenital, 5",ABCD3
"Bile acid synthesis defect, congenital, 6",ACOX2
"Bilirubin, serum level of, quantitative trait locus 1",UGT1A1
Biotin-responsive basal ganglia disease,SLC19A3
Biotin-Responsive Multiple Carboxylase Deficiencies,
Biotinidase deficiency,BTD
Birbeck granule deficiency,CD207
Birk-Barel syndrome,KCNK9
Birk-Landau-Perez syndrome,SLC30A9
Blau syndrome,NOD2
"Bleeding disorder, platelet-type, 21",FLI1
"Bleeding disorder, platelet-type, 22",EPHB2
"Bleeding disorder, platelet-type, 24",ITGB3
Blepharocheilodontic syndrome 1,CDH1
Blepharocheilodontic syndrome 2,CTNND1
BLEPHAROPHIMOSIS-IMPAIRED INTELLECTUAL DEVELOPMENT SYNDROME,SMARCA2
"Blepharophimosis - intellectual disability syndrome, SBBYS type",KAT6B
"Blepharophimosis, ptosis, and epicanthus inversus",FOXL2
Blepharospasm,DRD5
"Blistering, acantholytic, of oral and laryngeal mucosa",DSG3
BLOOD GROUP--DIEGO SYSTEM,SLC4A1
BLOOD GROUP--FROESE,SLC4A1
BLOOD GROUP--KIDD SYSTEM,SLC14A1
BLOOD GROUP--LUTHERAN INHIBITOR,KLF1
BLOOD GROUP--LUTHERAN SYSTEM,BCAM
BLOOD GROUP--OK,BSG
BLOOD GROUP--SWANN SYSTEM,SLC4A1
BLOOD GROUP--WALDNER TYPE,SLC4A1
BLOOD GROUP--WRIGHT ANTIGEN,SLC4A1
"Blood group, Chido/Rodgers system",C4A
"Blood group, Dombrock system",ART4
"Blood group, Gerbich system",GYPC
"Blood group, globoside system",B3GALNT1
"Blood group, Junior system",ABCG2
"Blood group, lewis system",FUT3
"BLOOD GROUP, MN",GYPA
"BLOOD GROUP, Ss",GYPB
Bloom syndrome,BLM
BNAR syndrome,FREM1
Body mass index quantitative trait locus 10,FFAR4
Body mass index quantitative trait locus 12,PCSK1
Body mass index quantitative trait locus 14,FTO
Body mass index quantitative trait locus 18,MRAP2
BODY MASS INDEX QUANTITATIVE TRAIT LOCUS 19,ADCY3
BODY MASS INDEX QUANTITATIVE TRAIT LOCUS 20,MC4R
Body mass index quantitative trait locus 4,UCP2
Body mass index quantitative trait locus 9,MC3R
Bohring-Opitz syndrome,ASXL1
Bombay phenotype,"FUT1, FUT2"
"Bone fragility with contractures, arterial rupture, and deafness",PLOD3
Bone marrow failure syndrome 1,SRP72
Bone marrow failure syndrome 2,ERCC6L2
Bone marrow failure syndrome 3,DNAJC21
Bone marrow failure syndrome 4,MYSM1
Bone marrow failure syndrome 5,TP53
Bone marrow failure syndrome 6,MDM4
Bone mineral density quantitative trait locus 1,LRP5
Bone mineral density quantitative trait locus 12,UGT2B17
Bone mineral density quantitative trait locus 15,MIR2861
Bone mineral density quantitative trait locus 16,WNT1
Bone mineral density quantitative trait locus 17,LGR4
Bone mineral density quantitative trait locus 18,PLS3
Boomerang dysplasia,FLNB
Borjeson-Forssman-Lehmann syndrome,PHF6
Bosch-Boonstra-Schaaf optic atrophy syndrome,NR2F1
Bothnia retinal dystrophy,RLBP1
Bowen-Conradi syndrome,EMG1
Brachydactyly-arterial hypertension syndrome,PDE3A
Brachydactyly-syndactyly syndrome,HOXD13
Brachydactyly type A1,
brachydactyly type A1A,IHH
Brachydactyly type A2,"BMP2, BMPR1B, GDF5"
Brachydactyly type B1,ROR2
Brachydactyly type B2,NOG
Brachydactyly type C,GDF5
Brachydactyly type D,HOXD13
Brachydactyly type E1,HOXD13
Brachydactyly type E2,PTHLH
"Brachydactyly, type a1, c",GDF5
"Brachydactyly, type a1, d",BMPR1B
Brachyrachia (short spine dysplasia),TRPV4
Bradyopsia,"RGS9, RGS9BP"
"Brain abnormalities, neurodegeneration, and dysosteosclerosis",CSF1R
Brain malformations and urinary tract defects,NFIA
Brain small vessel disease 1 with or without ocular anomalies,COL4A1
Brain small vessel disease 3,COLGALT1
Brain small vessel disease with hemorrhage,COL4A1
Branched-chain keto acid dehydrogenase kinase deficiency,BCKDK
Branchiooculofacial syndrome,TFAP2A
Branchiootic syndrome,
Branchiootic syndrome 1,EYA1
Branchiootic syndrome 3,SIX1
Branchiootorenal Spectrum Disorders,
Branchiootorenal Syndrome 1,"EYA1, SIX1"
Branchiootorenal syndrome 2,SIX5
"Breast-ovarian cancer, familial 1",BRCA1
"Breast-ovarian cancer, familial 2",BRCA2
"Breast-ovarian cancer, familial 3",RAD51C
"Breast-ovarian cancer, familial 4",RAD51D
Breast neoplasm,
"Breasts and/or nipples, aplasia or hypoplasia of, 2",PTPRF
Brittle cornea syndrome 1,ZNF469
Brittle cornea syndrome 2,PRDM5
Brivaracetam response,CYP2C19
Brody myopathy,ATP2A1
Bronchiectasis,
Bronchiectasis with or without elevated sweat chloride 1,"CFTR, SCNN1B"
Bronchiectasis with or without elevated sweat chloride 2,SCNN1A
Bronchiectasis with or without elevated sweat chloride 3,SCNN1G
Brooke-Spiegler syndrome,CYLD
Brown-Vialetto-Van Laere syndrome 1,SLC52A3
Brown-Vialetto-Van Laere syndrome 2,SLC52A2
Bruck syndrome 1,FKBP10
Bruck syndrome 2,PLOD2
Brugada syndrome,
Brugada syndrome 1,SCN5A
Brugada syndrome 2,GPD1L
Brugada syndrome 3,CACNA1C
Brugada syndrome 4,CACNB2
Brugada syndrome 5,SCN1B
Brugada syndrome 6,KCNE3
Brugada syndrome 7,SCN3B
Brugada syndrome 8,HCN4
Brugada syndrome 9,KCND3
Brunner syndrome,MAOA
Budd-Chiari syndrome,"F5, JAK2"
Bullous ichthyosiform erythroderma,"KRT1, KRT10"
BURATTI-HAREL SYNDROME,SIAH1
Burkitt lymphoma,MYC
Burn-McKeown syndrome,TXNL4A
"Buruli ulcer, susceptibility to",SLC11A1
C syndrome,CD96
C1q deficiency,"C1QA, C1QB, C1QC"
"C3HEX, ability to smell",OR2J3
C4a deficiency,C4A
Café-au-lait macules with pulmonary stenosis,NF1
Calcification of joints and arteries,NT5E
Calcium oxalate urolithiasis,SLC26A1
Camptodactyly-arthropathy-coxa vara-pericarditis syndrome,PRG4
Camptodactyly-tall stature-scoliosis-hearing loss syndrome,FGFR3
Camptomelic dysplasia,SOX9
"Camptosynpolydactyly, complex",BHLHA9
Cancer of cervix,FGFR3
"CANCER, ALOPECIA, PIGMENT DYSCRASIA, ONYCHODYSTROPHY, AND KERATODERMA",SASH1
"Candidiasis, familial, 2",CARD9
"Candidiasis, familial, 6",IL17F
"Candidiasis, familial, 8",TRAF3IP2
"Candidiasis, familial, 9",IL17RC
Capecitabine response,DPYD
Capillary malformation,
Capillary malformation-arteriovenous malformation,EPHB4
Capillary malformation-arteriovenous malformation 1,RASA1
Capillary malformation-arteriovenous malformation 2,EPHB4
"Capillary malformation of the lower lip, lymphatic malformation of face and neck, asymmetry of face and limbs, and partial/generalized overgrowth",PIK3CA
CARASIL syndrome,HTRA1
Carbamazepine hypersensitivity,HLA-B
Carbamazepine response,"HLA-A, HLA-B"
"Carbonic anhydrase VA deficiency, hyperammonemia due to",CA5A
Carcinoma of colon,
Carcinoma of pancreas,"KRAS, SMAD4, STK11, TP53"
Cardiac-urogenital syndrome,MYRF
Cardiac arrhythmia,RYR2
"Cardiac arrhythmia, ankyrin B-related",ANK2
Cardiac conduction disease with or without dilated cardiomyopathy,TNNI3K
"Cardiac valvular defect, developmental",PLD1
"Cardiac valvular dysplasia, X-linked",FLNA
"Cardiac, facial, and digital anomalies with developmental delay",TRAF7
Cardioacrofacial dysplasia 1,PRKACA
Cardioacrofacial dysplasia 2,PRKACB
"Cardioencephalomyopathy, fatal infantile, due to cytochrome c oxidase deficiency",SCO2
"Cardioencephalomyopathy, fatal infantile, due to cytochrome c oxidase deficiency 2",COX15
"Cardioencephalomyopathy, fatal infantile, due to cytochrome c oxidase deficiency 3",COA5
"Cardioencephalomyopathy, fatal infantile, due to cytochrome c oxidase deficiency 4",COA6
Cardiofaciocutaneous syndrome 1,BRAF
Cardiofaciocutaneous syndrome 2,KRAS
Cardiofaciocutaneous syndrome 3,MAP2K1
Cardiofaciocutaneous syndrome 4,MAP2K2
Cardiofacioneurodevelopmental syndrome,CCDC32
Cardiomyopathy,
"Cardiomyopathy, dilated, 1NN",RAF1
"Cardiomyopathy, dilated, 1u",PSEN1
"Cardiomyopathy, dilated, 2b",GATAD1
"Cardiomyopathy, dilated, 2c",PPCS
"CARDIOMYOPATHY, DILATED, 2D",RPL3L
"Cardiomyopathy, dilated, with woolly hair, keratoderma, and tooth agenesis",DSP
"Cardiomyopathy, familial hypertrophic 27",ALPK3
"Cardiomyopathy, familial hypertrophic, 26",FLNC
"CARDIOMYOPATHY, FAMILIAL HYPERTROPHIC, 28",FHOD3
"CARDIOMYOPATHY, FAMILIAL RESTRICTIVE, 6",KIF20A
Cardiospondylocarpofacial syndrome,MAP3K7
Carney-Stratakis syndrome,"SDHB, SDHC, SDHD"
Carney complex,
Carney complex variant,MYH8
"Carney complex, type 1",PRKAR1A
Carnitine acylcarnitine translocase deficiency,SLC25A20
Carnitine palmitoyltransferase 1A deficiency,CPT1A
Carnitine palmitoyltransferase II deficiency,CPT2
"Carnitine palmitoyltransferase II deficiency, infantile",CPT2
"Carnitine palmitoyltransferase II deficiency, lethal neonatal",CPT2
"Carnitine palmitoyltransferase II deficiency, myopathic, stress-induced",CPT2
Carotid intimal medial thickness 1,PPARG
Carpal tunnel syndrome,
Carpal tunnel syndrome 1,TTR
Carpal tunnel syndrome 2,COMP
Carpenter syndrome 1,RAB23
Carpenter syndrome 2,MEGF8
Cartilage-Hair Hypoplasia-Anauxetic Dysplasia Spectrum Disorders,
Cataract-intellectual disability-hypogonadism syndrome,RAB3GAP2
Cataract 1,GJA8
Cataract 11,PITX3
"Cataract 12, multiple types",BFSP2
Cataract 13 with adult i phenotype,GCNT2
"Cataract 15, multiple types",MIP
"Cataract 16, multiple types",CRYAB
Cataract 18,FYCO1
"Cataract 19, multiple types",LIM2
"Cataract 2, multiple types",CRYGC
Cataract 20 multiple types,CRYGS
"Cataract 21, multiple types",MAF
"Cataract 23, multiple types",CRYBA4
"Cataract 3, multiple types",CRYBB2
Cataract 30,VIM
Cataract 31 multiple types,CHMP4B
"Cataract 33, multiple types",BFSP1
"Cataract 34, multiple types",FOXE3
"Cataract 39, multiple types",CRYGB
Cataract 4,CRYGD
Cataract 40,NHS
Cataract 41,WFS1
Cataract 42,CRYBA2
Cataract 43,UNC45B
Cataract 44,LSS
Cataract 45,SIPA1L3
Cataract 48,DNMBP
Cataract 5 multiple types,HSF4
"Cataract 6, multiple types",EPHA2
Cataract Hutterite type,LEMD2
"Cataract, autosomal dominant",CRYAA
"Cataract, autosomal recessive congenital 4",TDRD7
"Cataract, autosomal recessive congenital 5",AGK
"Cataract, congenital nuclear, autosomal recessive 2",CRYBB3
"Cataract, congenital nuclear, autosomal recessive 3",CRYBB1
"Cataract, congenital zonular, with sutural opacities",CRYBA1
"Cataract, juvenile, with microcornea and glucosuria",SLC16A12
"Cataracts, growth hormone deficiency, sensory neuropathy, sensorineural hearing loss, and skeletal dysplasia",IARS2
"CATARACTS, SPASTIC PARAPARESIS, AND SPEECH DELAY",FAR1
Catecholaminergic polymorphic ventricular tachycardia type 1,"CASQ2, RYR2, TRDN"
Catel Manzke syndrome,TGDS
Catifa syndrome,RIC1
Caudal duplication anomaly,AXIN1
Caudal regression sequence,VANGL1
Caveolinopathy,
Cavitary optic disc anomalies,MMP19
CCDC115-CDG,CCDC115
CD59-mediated hemolytic anemia with or without immune-mediated polyneuropathy,CD59
"Cd8 deficiency, familial",CD8A
CEBALID syndrome,MN1
CEDNIK syndrome,SNAP29
Celiac disease,
Celiac disease 1,"HLA-DQA1, HLA-DQB1"
Celiac disease 3,CTLA4
Celiac disease 4,MYO9B
Cenani-Lenz syndactyly syndrome,LRP4
Central core myopathy,RYR1
Central diabetes insipidus,
Centronuclear myopathy,
Cerebellar ataxia-areflexia-pes cavus-optic atrophy-sensorineural hearing loss syndrome,ATP1A3
"Cerebellar ataxia, Cayman type",ATCAY
"Cerebellar ataxia, deafness, and narcolepsy, autosomal dominant",DNMT1
"Cerebellar ataxia, mental retardation, and dysequilibrium syndrome 1",VLDLR
"Cerebellar ataxia, mental retardation, and dysequilibrium syndrome 2",WDR81
"Cerebellar ataxia, mental retardation, and dysequilibrium syndrome 3",CA8
"Cerebellar ataxia, mental retardation, and dysequilibrium syndrome 4",ATP8A2
"Cerebellar ataxia, neuropathy, and vestibular areflexia syndrome",RFC1
"Cerebellar ataxia, nonprogressive, with mental retardation",CAMTA1
Cerebellar atrophy with seizures and variable developmental delay,CACNA2D2
"Cerebellar atrophy, developmental delay, and seizures",KCNMA1
"Cerebellar atrophy, visual impairment, and psychomotor retardation",EMC1
"Cerebellar, ocular, craniofacial, and genital syndrome",MAB21L1
Cerebellofaciodental syndrome,BRF1
"Cerebral amyloid angiopathy, APP-related",APP
"Cerebral arteriopathy, autosomal dominant, with subcortical infarcts and leukoencephalopathy, type 2",HTRA1
Cerebral arteriovenous malformation,"IL6, KRAS"
Cerebral autosomal dominant arteriopathy with subcortical infarcts and leukoencephalopathy,"NOTCH3, "
Cerebral autosomal dominant arteriopathy with subcortical infarcts and leukoencephalopathy type 1,NOTCH3
Cerebral cavernous malformation,"KRIT1, "
Cerebral cavernous malformations 1,KRIT1
Cerebral cavernous malformations 2,CCM2
Cerebral cavernous malformations 3,PDCD10
Cerebral creatine deficiency syndrome,
Cerebral folate transport deficiency,FOLR1
"Cerebral palsy, spastic quadriplegic, 2",KANK1
"Cerebral palsy, spastic quadriplegic, 3",ADD3
Cerebro-costo-mandibular syndrome,SNRPB
Cerebrooculofacioskeletal syndrome 1,ERCC6
Cerebrooculofacioskeletal syndrome 2,ERCC2
Cerebrooculofacioskeletal syndrome 3,ERCC5
Cerebrooculofacioskeletal syndrome 4,ERCC1
Cerebroretinal microangiopathy with calcifications and cysts,
Cerebroretinal microangiopathy with calcifications and cysts 1,CTC1
Cerebroretinal microangiopathy with calcifications and cysts 2,STN1
Ceroid lipofuscinosis neuronal 2,TPP1
"Ceroid lipofuscinosis, neuronal, 11",GRN
"Ceroid lipofuscinosis, neuronal, 13",CTSF
"Ceroid lipofuscinosis, neuronal, 8, northern epilepsy variant",CLN8
Cervical C2/C3 vertebral fusion,
Cetuximab response,"BRAF, EGFR, ERBB2, KRAS, NRAS"
CFHR5-Related Dense Deposit Disease / Membranoproliferative Glomerulonephritis Type II,CFHR5
CFHR5 deficiency,CFHR5
Char syndrome,TFAP2B
Charcot-Marie-Tooth disease,"CNTNAP1, DCTN2, DRP2, MCM3AP, MORC2, SGPL1, WARS1, "
Charcot-Marie-Tooth disease and deafness,PMP22
Charcot-Marie-Tooth disease axonal type 2C,TRPV4
Charcot-Marie-Tooth disease axonal type 2F,HSPB1
Charcot-Marie-Tooth disease axonal type 2K,"GDAP1, JPH1"
Charcot-Marie-Tooth disease dominant intermediate d,MPZ
Charcot-Marie-Tooth disease type 2B,RAB7A
Charcot-Marie-Tooth disease type 2B1,LMNA
Charcot-Marie-Tooth disease type 2B2,"MED25, PNKP"
Charcot-Marie-Tooth disease type 2D,GARS1
Charcot-Marie-Tooth disease type 2E,NEFL
Charcot-Marie-Tooth disease type 2I,MPZ
Charcot-Marie-Tooth disease type 2J,MPZ
Charcot-Marie-Tooth disease type 2P,LRSAM1
Charcot-Marie-Tooth disease type 4,"SBF1, "
"Charcot-Marie-Tooth disease, axonal type 2V",NAGLU
"Charcot-Marie-Tooth disease, axonal type 2X",SPG11
"Charcot-Marie-Tooth disease, axonal, autosomal recessive, type 2A2B",MFN2
"Charcot-Marie-Tooth disease, axonal, type 2CC",NEFH
"Charcot-marie-tooth disease, axonal, type 2DD",ATP1A1
"Charcot-Marie-Tooth disease, axonal, type 2EE",MPV17
"Charcot-Marie-Tooth disease, axonal, type 2O",DYNC1H1
"Charcot-Marie-Tooth disease, axonal, type 2Q",DHTKD1
"Charcot-Marie-Tooth disease, axonal, type 2R",TRIM2
"Charcot-Marie-Tooth disease, axonal, type 2S",IGHMBP2
"Charcot-Marie-Tooth disease, axonal, type 2T",MME
"Charcot-Marie-Tooth disease, axonal, type 2u",MARS1
"Charcot-Marie-Tooth disease, axonal, type 2w",HARS1
"Charcot-Marie-Tooth disease, axonal, type 2y",VCP
"Charcot-Marie-Tooth disease, axonal, type 2z",MORC2
"Charcot-Marie-Tooth disease, axonal, with vocal cord paresis, autosomal recessive",GDAP1
"Charcot-Marie-Tooth disease, demyelinating, type 1b",MPZ
"Charcot-Marie-Tooth disease, demyelinating, type 1d",EGR2
"Charcot-Marie-Tooth disease, demyelinating, type 1f",NEFL
